name,ALIGN,EYE,HAIR,SEX,Publisher
Batman (Bruce Wayne),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Superman (Clark Kent),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Green Lantern (Hal Jordan),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
James Gordon (New Earth),Good Characters,Brown Eyes,White Hair,Male Characters,DC
Richard Grayson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Wonder Woman (Diana Prince),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Aquaman (Arthur Curry),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Timothy Drake (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Dinah Laurel Lance (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Flash (Barry Allen),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
GenderTest,Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Alan Scott (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Barbara Gordon (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,DC
Jason Garrick (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Lois Lane (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Alfred Pennyworth (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Carter Hall (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Kyle Rayner (New Earth),Good Characters,Green Eyes,Black Hair,Male Characters,DC
Raymond Palmer (New Earth),Good Characters,Brown Eyes,,Male Characters,DC
Alexander Luthor (New Earth),Bad Characters,Green Eyes,,Male Characters,DC
Roy Harper (New Earth),Neutral Characters,Green Eyes,Red Hair,Male Characters,DC
Kara Zor-L (Earth-Two),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Ted Grant (New Earth),,Blue Eyes,Black Hair,Male Characters,DC
Garfield Logan (New Earth),Good Characters,Green Eyes,Green Hair,Male Characters,DC
Guy Gardner (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Victor Stone (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Kon-El (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Ralph Dibny (New Earth),,Blue Eyes,Red Hair,Male Characters,DC
James Olsen (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,DC
John Stewart (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Joker (New Earth),Bad Characters,Green Eyes,Green Hair,Male Characters,DC
Franklin Rock (New Earth),Good Characters,Blue Eyes,,Male Characters,DC
Garth (New Earth),Good Characters,Purple Eyes,Black Hair,Male Characters,DC
Rex Mason (New Earth),,Black Eyes,,Male Characters,DC
Zatanna Zatara (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Aztar (New Earth),,White Eyes,,Male Characters,DC
Theodore Kord (New Earth),,Blue Eyes,Brown Hair,Male Characters,DC
Michael Jon Carter (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Cassandra Sandsmark (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Kent Nelson (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Harvey Bullock (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,DC
Rachel Roth (New Earth),Good Characters,Purple Eyes,Black Hair,Female Characters,DC
Helena Bertinelli (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Wesley Dodds (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Uxas (New Earth),Bad Characters,Red Eyes,,Male Characters,DC
Nathaniel Adam (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Ronald Raymond (New Earth),Good Characters,Blue Eyes,,Male Characters,DC
Red Tornado (New Earth),Good Characters,Green Eyes,,Male Characters,DC
John Constantine (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Albert Pratt (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,DC
Charles McNider (New Earth),,Blue Eyes,Blond Hair,Male Characters,DC
Theodore Knight (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,DC
Lobo (New Earth),Neutral Characters,Red Eyes,Black Hair,Male Characters,DC
Perry White (New Earth),,Blue Eyes,Brown Hair,Male Characters,DC
John Henry Irons (New Earth),Good Characters,Brown Eyes,,Male Characters,DC
Jefferson Pierce (New Earth),Good Characters,Brown Eyes,,Male Characters,DC
Slade Wilson (New Earth),Neutral Characters,Blue Eyes,White Hair,Male Characters,DC
Phantom Stranger (New Earth),,Black Eyes,Black Hair,Male Characters,DC
Beatriz da Costa (New Earth),Good Characters,Green Eyes,Green Hair,Female Characters,DC
William Batson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Carol Ferris (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,DC
Clifford Steele (New Earth),,Photocellular Eyes,,Male Characters,DC
Etrigan (New Earth),Neutral Characters,Red Eyes,,Male Characters,DC
Jennifer-Lynn Hayden (New Earth),Good Characters,Green Eyes,Green Hair,Female Characters,DC
Swamp Thing (New Earth),Good Characters,Red Eyes,,Male Characters,DC
Renee Montoya (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Harvey Dent (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,DC
Courtney Whitmore (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Kendra Saunders (New Earth),Good Characters,Hazel Eyes,Brown Hair,Female Characters,DC
Michael Holt (New Earth),,Brown Eyes,Black Hair,Male Characters,DC
Kilowog (New Earth),Good Characters,Red Eyes,,Male Characters,DC
Kara Zor-El (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Jonah Hex (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Rex Tyler (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Pamela Isley (New Earth),Neutral Characters,Green Eyes,Red Hair,Female Characters,DC
Pieter Cross (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Jonathan L. Thunder (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Mari McCabe (New Earth),Good Characters,Amber Eyes,Brown Hair,Female Characters,DC
Scott Free (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Martha Clark (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
Boston Brand (New Earth),Good Characters,Blue Eyes,,Male Characters,DC
Daniel Turpin (New Earth),,Brown Eyes,Brown Hair,Male Characters,DC
John Zatara (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Jonathan Kent (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,DC
Oswald Cobblepot (New Earth),,Blue Eyes,Black Hair,Male Characters,DC
Tatsu Yamashiro (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Lawrence Trainor (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Albert Rothstein (New Earth),Good Characters,Blue Eyes,,Male Characters,DC
Brion Markov (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,DC
Sanderson Hawkins (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Jonathan Chambers (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Orion (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,DC
Thaal Sinestro (New Earth),Neutral Characters,Yellow Eyes,Black Hair,Male Characters,DC
Cassandra Cain (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Jason Todd (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,DC
Susan Dearbon (New Earth),Good Characters,,Black Hair,Female Characters,DC
Jean-Paul Valley (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Hippolyta (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,DC
Joseph Wilson (New Earth),Neutral Characters,Green Eyes,Blond Hair,Male Characters,DC
Bernhard Baker (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,DC
Sylvester Pemberton (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
Jesse Chambers (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,DC
Floyd Lawton (New Earth),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,DC
Mera (New Earth),,Blue Eyes,Red Hair,Female Characters,DC
Tora Olafsdotter (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,DC
George Harkness (New Earth),,Brown Eyes,Brown Hair,Male Characters,DC
Amanda Waller (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,DC
Jonathan Crane (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,DC
Leonard Snart (New Earth),,Brown Eyes,Brown Hair,Male Characters,DC
Shiera Sanders (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,DC
Maxwell Lord IV (New Earth),Neutral Characters,Black Eyes,Brown Hair,Male Characters,DC
Jeb Stuart (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,DC
Damian Wayne (Prime Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,DC
