name,ALIGN,EYE,HAIR,SEX,Publisher
Spider-Man (Peter Parker),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Marvel
Captain America (Steven Rogers),Good Characters,Blue Eyes,White Hair,Male Characters,Marvel
"Wolverine (James \""Logan\"" Howlett)",Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
"Iron Man (Anthony \""Tony\"" Stark)",Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Thor (Thor Odinson),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Benjamin Grimm (Earth-616),Good Characters,Blue Eyes,No Hair,Male Characters,Marvel
Reed Richards (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Hulk (Robert Bruce Banner),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Scott Summers (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Jonathan Storm (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Henry McCoy (Earth-616),Good Characters,Blue Eyes,Blue Hair,Male Characters,Marvel
Susan Storm (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Namor McKenzie (Earth-616),Neutral Characters,Green Eyes,Black Hair,Male Characters,Marvel
Ororo Munroe (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Marvel
Clinton Barton (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Matthew Murdock (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Marvel
Stephen Strange (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Marvel
Mary Jane Watson (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
John Jonah Jameson (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Robert Drake (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Henry Pym (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Charles Xavier (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Warren Worthington III (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Piotr Rasputin (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Wanda Maximoff (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Marvel
Nicholas Fury (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Janet van Dyne (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Marvel
Jean Grey (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Natalia Romanova (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Marvel
Kurt Wagner (Earth-616),Good Characters,Yellow Eyes,Blue Hair,Male Characters,Marvel
Vision (Earth-616),Good Characters,Gold Eyes,No Hair,Male Characters,Marvel
May Reilly (Earth-616),Good Characters,Blue Eyes,Grey Hair,Female Characters,Marvel
Katherine Pryde (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Marvel
Carol Danvers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Marvel
Jennifer Walters (Earth-616),Good Characters,Green Eyes,Brown Hair,Female Characters,Marvel
Emma Frost (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Female Characters,Marvel
Frank Castle (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Luke Cage (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Marvel
Rogue (Anna Marie) (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Marvel
Conan (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Marvel
Joseph Robertson (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Marvel
Pietro Maximoff (Earth-616),Good Characters,Blue Eyes,Silver Hair,Male Characters,Marvel
Hercules (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Marvel
Victor von Doom (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Max Eisenhardt (Earth-616),Neutral Characters,Grey Eyes,Bald,Male Characters,Marvel
Elizabeth Braddock (Earth-616),Neutral Characters,Blue Eyes,Purple Hair,Female Characters,Marvel
Norrin Radd (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
Norman Osborn (Earth-616),Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Marvel
Eugene Thompson (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Marvel
Simon Williams (Earth-616),Good Characters,Red Eyes,Grey Hair,Male Characters,Marvel
Samuel Guthrie (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
James Buchanan Barnes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Remy LeBeau (Earth-616),Good Characters,Black Eyeballs,Brown Hair,Male Characters,Marvel
Daniel Rand (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Nathan Summers (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Marvel
Elizabeth Brant (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Marvel
Richard Jones (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Marvel
Edwin Jarvis (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Marvel
Alexander Summers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Patricia Walker (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Marvel
Human Torch (Android) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Marvel
Loki Laufeyson (Earth-616),Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Marvel
Franklin Nelson (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Marvel
